"","Name","Price","Rating","Specs"
"1","Lenovo IdeaPad Gaming Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce...","53,599","4.3","Intel Core i5 Processor (11th Gen)"
"2","Lenovo IdeaPad Gaming 3 Ryzen 7 Octa Core AMD R7-5800H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphic...","74,990","4.5","AMD Ryzen 7 Octa Core Processor"
"3","MSI GF63 Thin Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 165...","52,990","4.4","Intel Core i5 Processor (11th Gen)"
"4","MSI Bravo 15 Ryzen 5 Hexa Core AMD R5-5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/AMD Radeo...","57,990","4.4","AMD Ryzen 5 Hexa Core Processor"
"5","ASUS Vivobook Pro 15 Ryzen 7 Octa Core AMD R7-4800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/...","66,990","4.5","AMD Ryzen 7 Octa Core Processor"
"6","MSI Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce RTX 3050/144 Hz) ...","70,990","4.5","Intel Core i5 Processor (11th Gen)"
"7","HP Pavilion Ryzen 5 Hexa Core AMD R5-5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...","64,990","4.5","AMD Ryzen 5 Hexa Core Processor"
"8","Lenovo IdeaPad Gaming 3 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFor...","66,490","4.3","Intel Core i5 Processor (11th Gen)"
"9","ASUS ROG Strix G15 Ryzen 7 Octa Core AMD R7-4800H - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVID...","85,990","4.6","AMD Ryzen 7 Octa Core Processor"
"10","MSI Delta 15 AMD Advantage Edition Ryzen 9 Octa Core 5900HX 5th Gen - (16 GB/1 TB SSD/Windows 11 Home/...","1,46,990","4.6","AMD Ryzen 9 Octa Core Processor (5th Gen)"
"11","Lenovo IdeaPad Gaming 3 Ryzen 5 Hexa Core AMD R5-5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphic...","69,490","3.9","AMD Ryzen 5 Hexa Core Processor"
"12","acer Aspire 7 Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce...","53,990","4.4","AMD Ryzen 5 Hexa Core Processor"
"13","HP Pavilion Ryzen 5 Hexa Core AMD R5-5600H - (8 GB/512 GB SSD/Windows 10/4 GB Graphics/NVIDIA GeForce ...","54,990","4.4","AMD Ryzen 5 Hexa Core Processor"
"14","acer Aspire 7 Ryzen 5 Hexa Core AMD R5-5500U - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA G...","49,990","4.4","Free upgrade to Windows 11 when available"
"15","ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce G...","58,990","4.4","Intel Core i5 Processor (10th Gen)"
"16","MSI Katana GF66 Core i7 11th Gen - (16 GB/512 GB SSD/Windows 10 Home/6 GB Graphics/NVIDIA GeForce RTX ...","96,990","4.3","Intel Core i7 Processor (11th Gen)"
"17","MSI Core i7 11th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce RTX 3050/144 Hz) ...","75,990","4.4","Intel Core i7 Processor (11th Gen)"
"18","HP Victus Intel Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1...","65,990","4.3","Intel Core i5 Processor (12th Gen)"
"19","MSI Core i7 11th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650 MAX Q/14...","69,990","4.5","Intel Core i7 Processor (11th Gen)"
"20","MSI Alpha 15 AMD Advantage Edition Ryzen 7 Octa Core 5800H - (8 GB/512 GB SSD/Windows 11 Home/8 GB Gra...","89,990","4.5","AMD Ryzen 7 Octa Core Processor"
"21","DELL Ryzen 5 Hexa Core AMD R5-5600H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce R...","70,914","4.6","Processor: AMD Ryzen R5-5600H (3.30 GHz up to 4.20 GHz) 16MB L3"
"22","ASUS Vivobook Pro 15 OLED Ryzen 7 Octa Core AMD R7-4800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Grap...","71,990","4.6","AMD Ryzen 7 Octa Core Processor"
"23","ASUS TUF Gaming A17 with 90Whr Battery Ryzen 5 Hexa Core AMD R5-4600H - (8 GB/512 GB SSD/Windows 11 Ho...","59,990","4.4","AMD Ryzen 5 Hexa Core Processor"
"24","HP Victus Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050/14...","67,990","4.3","Intel Core i5 Processor (11th Gen)"
